angle_deg,analytical_derivative,numerical_derivative
28.90,-5448.186055,-6126.578274
29.00,-5183.513060,-5664.686381
29.10,-5167.036149,-4406.207686
29.20,-5804.340195,-6265.723781
29.30,-6452.991708,-7194.514114
29.40,-5727.656923,-4519.762754
29.50,-4606.112329,-3774.367852
29.60,-4848.735943,-6386.333690
29.70,-5464.344284,-5416.231848
29.80,-5767.116180,-4206.134932
29.90,-5604.192895,-7065.864456
30.00,-5606.837659,-6016.069193
