-5,2527.58
-4.9,2499.06
-4.8,2468.07
-4.7,2430.88
-4.6,2402.59
-4.5,2371.75
-4.4,2326.94
-4.3,2299.14
-4.2,2270.57
-4.1,2231.29
-4,2203.04
-3.9,2174.65
-3.8,2136.13
-3.7,2106.96
-3.6,2077.2
-3.5,2043.34
-3.4,2019.78
-3.3,1996.14
-3.2,1964.6
-3.1,1944.76
-3,1923.6
-2.9,1901.51
-2.8,1891.79
-2.7,1872.03
-2.6,1861.38
-2.5,1853.88
-2.4,1854.8
-2.3,1844.12
-2.2,1835.33
-2.1,1835.43
-2,1819.78
-1.9,1808.92
-1.8,1812.69
-1.7,1797.01
-1.6,1776.37
-1.5,1777.75
-1.4,1752.35
-1.3,1723.47
-1.2,1696.08
-1.1,1692.76
-1,1664.5
-0.9,1637.6
-0.8,1639.71
-0.7,1606.97
-0.6,1574.89
-0.5,1556.61
-0.4,1533.96
-0.3,1500.92
-0.2,1475.58
-0.1,1451.67
-1.02696e-15,1416.01
0.1,1383.31
0.2,1341.77
0.3,1312.28
0.4,1271.62
0.5,1224.84
0.6,1208.79
0.7,1195.24
0.8,1175.03
0.9,1168.16
1,1154.49
1.1,1137.36
1.2,1132.17
1.3,1119.6
1.4,1104.5
1.5,1100.63
1.6,1090
1.7,1074.88
1.8,1075.94
1.9,1062.85
2,1045.49
2.1,1045.66
2.2,1033.58
2.3,1012.08
2.4,1001.47
2.5,990.424
2.6,969.467
2.7,961.065
2.8,947.806
2.9,921.857
3,909.566
3.1,885.581
3.2,858.713
3.3,840.019
3.4,817.743
3.5,792.399
3.6,771.539
3.7,740.703
3.8,708.532
3.9,679.532
4,641.703
4.1,594.518
4.2,542.552
4.3,492.753
4.4,435.099
4.5,381.738
4.6,327.989
4.7,274.587
4.8,200.9
4.9,105.525
5,26.5411
5.1,47.1427
5.2,155.08
5.3,233.574
5.4,292.038
5.5,353.152
5.6,405.154
5.7,458.204
5.8,514.123
5.9,573.954
6,632.34
6.1,675.823
6.2,729.669
6.3,779.333
6.4,817.785
6.5,873.661
6.6,915.527
6.7,952.448
6.8,1006.06
6.9,1040.59
7,1069.95
7.1,1107.31
7.2,1122.63
7.3,1134.95
7.4,1155.4
7.5,1160.36
7.6,1162.46
7.7,1180.47
7.8,1183.87
7.9,1182.12
8,1196.93
8.1,1194.13
8.2,1192.79
8.3,1204.89
8.4,1207.92
8.5,1209.81
8.6,1224.52
8.7,1228.19
8.8,1233.42
8.9,1251.71
9,1257.01
9.1,1268.04
9.2,1288.47
9.3,1293.32
9.4,1304.98
9.5,1318.05
9.6,1324.42
9.7,1334.14
9.8,1342.46
9.9,1346.67
10,1353.06
