222.116,3.04804e-06
447.005,2.85206e-06
439.514,2.6689e-06
494.758,2.89562e-06
603.665,3.16948e-06
616.825,2.97389e-06
661.816,2.37524e-06
700.122,2.15742e-06
729.921,1.96966e-07
755.178,1.87326e-06
806.809,2.42283e-06
798.067,1.61317e-06
836.357,1.56396e-06
817.398,7.54689e-06
814.989,3.01845e-07
859.024,7.95192e-06
818.796,4.3354e-06
821.822,1.14648e-08
843.447,6.53475e-07
817.692,2.10978e-06
866.302,1.80692e-06
954.625,7.58064e-06
929.931,2.81252e-06
1044.02,1.54391e-06
1143.43,1.6985e-06
1048.68,4.78854e-06
1110.67,3.70503e-06
1170.15,1.02594e-06
1153.57,4.02438e-06
1175.65,1.40056e-06
1171.61,4.50395e-06
1166.61,6.26821e-06
1167.41,6.36318e-06
1159.44,3.62396e-07
1144.45,1.60204e-06
1023.96,5.39439e-06
973.713,4.21154e-06
956.591,1.17638e-06
966.632,1.09232e-06
1043.14,3.37118e-06
1108.78,3.7653e-06
1153.7,2.03532e-06
1226.14,9.68181e-06
1326.5,1.04468e-06
1452.67,3.78313e-06
1618.66,5.89965e-06
1895.05,3.03573e-07
2200.48,2.29713e-07
2567.09,1.05171e-06
2821.39,2.09344e-06
2813.4,2.43753e-06
2492.94,3.75892e-07
2199.6,4.70675e-06
1966.38,5.85799e-06
1740.41,6.17866e-06
1550.65,4.63998e-06
1426.09,3.35358e-06
1302.09,8.16263e-07
697.174,5.49657e-06
684.27,5.41161e-06
675.022,4.30756e-06
677.352,3.0917e-06
733.646,9.97017e-06
783.481,9.88664e-06
824.289,2.92828e-06
843.908,9.97212e-06
885.21,1.03084e-06
915.369,6.93652e-06
984.883,1.28416e-06
1084.54,1.52644e-06
1194.11,1.6493e-06
1336.56,1.5407e-06
1486.31,1.3142e-07
1648.75,9.52392e-06
1796.91,7.71186e-06
1102.64,2.09694e-06
1244.63,2.18526e-06
1402.24,1.91683e-06
1585.57,1.83633e-06
1796.71,2.49322e-06
1963.83,2.3635e-07
2136.35,2.27197e-06
2322.22,2.15155e-06
2530.78,7.89105e-06
2732.42,2.88198e-06
2905.55,1.49317e-06
3236.6,4.15325e-07
3643.96,6.24698e-07
4103.5,5.07389e-06
4409.73,2.53608e-06
4292.3,4.67187e-06
4095.83,1.64799e-07
3850.36,2.43635e-07
2818.38,7.68863e-08
2573.31,7.23739e-08
2130.26,1.51402e-06
2093.45,6.40686e-08
2012.47,2.0436e-06
1893.15,2.00489e-06
1800.19,1.20845e-06
1713.92,1.42038e-07
1604.76,1.0593e-07
1502.04,9.87304e-06
1390.99,8.96366e-06
1304.82,6.33071e-06
1261.88,6.65782e-06
1208.05,6.18595e-06
1161.93,6.93299e-06
1128.31,7.32801e-06
1082.8,3.46506e-06
1026.72,2.28973e-08
975.345,5.14383e-06
907.824,8.11048e-06
799.894,4.35366e-06
792.152,5.47582e-06
786.615,9.22027e-06
708.321,3.57303e-06
745.958,3.33904e-06
749.563,2.48838e-06
780.945,6.54925e-06
682.141,5.88366e-06
712.382,1.97611e-06
736.279,1.40004e-06
788.075,1.77906e-06
759.339,1.57483e-06
773.716,1.11546e-06
798.977,1.2846e-06
739.844,7.36099e-06
676.987,4.17495e-06
711.626,4.90225e-06
731.758,9.65241e-06
714.224,5.35345e-06
701.406,1.74437e-06
702.784,2.23186e-07
709.998,8.02605e-06
730.334,3.35374e-06
802.767,5.39925e-06
906.234,8.15629e-07
1018.38,1.30729e-07
1167.99,1.91411e-07
1334.37,2.43393e-06
1553.03,2.85065e-07
1812.71,2.99773e-06
2079.21,3.53089e-07
2359.98,3.18303e-06
2676.67,3.13908e-07
3135.07,3.12441e-06
3682.98,3.09183e-06
4188.85,3.0115e-06
4606.88,2.93882e-07
5140.67,2.93143e-07
5575.55,2.65848e-06
5857.57,2.77023e-06
6042.3,2.08561e-06
6233.47,2.098e-06
6595.44,1.60952e-07
7157.78,1.12166e-06
7718.18,5.67612e-06
8186.86,3.42342e-06
8338.02,8.41595e-06
8823.81,7.89779e-06
8446.88,1.80563e-06
9018.94,2.18869e-07
9695.06,1.56335e-07
10367.1,9.034e-06
10534.2,9.19021e-07
10534.7,1.3881e-07
10836.2,2.08267e-08
10127,2.6535e-08
10350.1,1.48134e-08
10548.4,2.2307e-06
10272.5,1.5791e-06
10357.8,5.65233e-06
9841.52,2.11377e-06
10064,1.39545e-09
10288.6,6.01026e-06
9607.09,2.31754e-06
9925.7,1.79179e-07
10283.5,8.35845e-07
9869.82,1.31432e-08
10325.8,1.21404e-06
10724.5,3.54573e-07
9782.07,1.44412e-06
10258.9,1.42715e-08
10743.6,9.69197e-08
