angle_deg,objective,grad_analytical,grad_numerical,true_angle_deg
20.0,1548.139222,1943.568790,1791.630405,30.0
21.0,1517.554240,2517.872013,2184.311088,30.0
22.0,1482.368957,2439.644795,2195.532617,30.0
23.0,1451.463501,1290.956338,1886.239666,30.0
24.0,1419.585843,1093.611811,2380.904329,30.0
25.0,1368.391197,4275.729891,3884.885788,30.0
26.0,1296.170930,5654.674269,5555.723298,30.0
27.0,1187.879889,5504.293654,6021.236237,30.0
28.0,1063.354894,10140.458478,10502.972180,30.0
29.0,794.510802,23629.081254,24654.264410,30.0
30.0,3.245346,-8.222276,-152.051887,30.0
31.0,804.556466,-24635.450878,-25650.263685,30.0
32.0,1096.114371,-11008.208497,-11267.813625,30.0
33.0,1226.808112,-5915.496211,-6440.590564,30.0
34.0,1352.653144,-6946.849121,-6592.405714,30.0
35.0,1440.204402,-4817.488380,-4338.304917,30.0
36.0,1495.323533,-1268.298569,-2488.364761,30.0
37.0,1532.776340,-1532.623829,-1965.468256,30.0
38.0,1561.715130,-2045.240554,-1792.775545,30.0
39.0,1592.945379,-2210.503589,-1919.624542,30.0
40.0,1623.570913,-1752.632948,-1769.840318,30.0
