frame,r00,r01,r02,r10,r11,r12,r20,r21,r22,elapsed_sec
44,0.9999386196,0.0026432281,-0.0107596691,-0.0026753902,0.9999919933,-0.0029758342,0.0107517171,0.003004438,0.9999376851,25.422
45,0.9999386196,0.0026432281,-0.0107596691,-0.0026753902,0.9999919933,-0.0029758342,0.0107517171,0.003004438,0.9999376851,24.736
46,0.9999383356,0.002659805,-0.0107819565,-0.0026921304,0.999991922,-0.0029846987,0.0107739306,0.0030135413,0.9999374186,38.150
47,0.9999383356,0.002659805,-0.0107819565,-0.0026921304,0.999991922,-0.0029846987,0.0107739306,0.0030135413,0.9999374186,24.524
48,0.9999381035,0.0026797768,-0.0107985217,-0.0027123192,0.9999918214,-0.0030000793,0.0107903937,0.0030291829,0.9999371938,29.035
49,0.9999381035,0.0026797768,-0.0107985217,-0.0027123192,0.9999918214,-0.0030000793,0.0107903937,0.0030291829,0.9999371938,25.009
50,0.9999380151,0.0026907699,-0.0108039718,-0.0027234571,0.9999917556,-0.0030119069,0.0107957783,0.0030411446,0.9999370994,47.325
51,0.9999379903,0.0026966322,-0.0108048024,-0.0027293978,0.9999917183,-0.0030189038,0.010796572,0.0030482074,0.9999370693,38.176
52,0.9999381215,0.0027428027,-0.0107810079,-0.0027761469,0.999991406,-0.00307911,0.0107724698,0.0031088494,0.9999371425,38.170
53,0.9999524431,0.0032166423,-0.0092067734,-0.0032518909,0.999987431,-0.0038161414,0.0091943824,0.0038458996,0.999950335,75.807
54,0.9999611714,0.0032999511,-0.0081710417,-0.0033312526,0.9999871545,-0.0038201283,0.0081583303,0.0038472,0.9999593196,63.528
55,0.9999611714,0.0032999511,-0.0081710417,-0.0033312526,0.9999871545,-0.0038201283,0.0081583303,0.0038472,0.9999593196,22.388
56,0.9999611714,0.0032999511,-0.0081710417,-0.0033312526,0.9999871545,-0.0038201283,0.0081583303,0.0038472,0.9999593196,22.606
57,0.9999611714,0.0032999511,-0.0081710417,-0.0033312526,0.9999871545,-0.0038201283,0.0081583303,0.0038472,0.9999593196,22.740
58,0.9999594899,0.0032715614,-0.0083854271,-0.0033038412,0.9999871749,-0.0038385387,0.0083727613,0.0038660876,0.9999574743,206.406
59,0.999959,0.0032718685,-0.008443526,-0.0033047074,0.999987019,-0.0038782056,0.0084307272,0.0039059502,0.9999568324,54.105
60,0.999958657,0.0032781062,-0.0084816374,-0.0033114042,0.9999868542,-0.0039148127,0.0084686925,0.0039427372,0.9999563672,26.748
61,0.999957792,0.0032979697,-0.0085754002,-0.0033321328,0.9999865575,-0.0039725975,0.0085621831,0.0040010044,0.9999553396,29.039
