画像読み込み成功: images/base/base2.jpg
  サイズ: 6080 × 3040
  チャンネル数: 3
画像読み込み成功: images/reference/ref_base2_w1_15_w2_30.jpg
  サイズ: 6080 × 3040
  チャンネル数: 3
画像サイズ: 6080 x 3040
比較領域: u=[1520,4560]  v=[760,2280]
真値: (ω1, ω2, ω3) = (15.0, 30.0, 0.0) [deg]
ω₁ スキャン範囲: 5.0°〜25.0°  (201点)
ω₂ スキャン範囲: 20.0°〜40.0°  (201点)
合計 40401 点を計算します

  進捗: 3550 / 40401  (ω1=6.7°, ω2=33.2°, E=1764.8388)
  進捗: 3600 / 40401  (ω1=6.7°, ω2=38.2°, E=2087.6163)
  進捗: 3650 / 40401  (ω1=6.8°, ω2=23.1°, E=1564.3788)
  進捗: 3700 / 40401  (ω1=6.8°, ω2=28.1°, E=1494.2867)
  進捗: 3750 / 40401  (ω1=6.8°, ω2=33.1°, E=1752.1213)
  進捗: 3800 / 40401  (ω1=6.8°, ω2=38.1°, E=2079.2831)
  進捗: 3850 / 40401  (ω1=6.9°, ω2=23.0°, E=1567.8330)
  進捗: 3900 / 40401  (ω1=6.9°, ω2=28.0°, E=1490.6595)
  進捗: 3950 / 40401  (ω1=6.9°, ω2=33.0°, E=1738.9045)
  進捗: 4000 / 40401  (ω1=6.9°, ω2=38.0°, E=2070.9517)
  進捗: 4050 / 40401  (ω1=7.0°, ω2=22.9°, E=1571.8285)
  進捗: 4100 / 40401  (ω1=7.0°, ω2=27.9°, E=1487.5813)
  進捗: 4150 / 40401  (ω1=7.0°, ω2=32.9°, E=1725.7306)
  進捗: 4200 / 40401  (ω1=7.0°, ω2=37.9°, E=2061.4237)
  進捗: 4250 / 40401  (ω1=7.1°, ω2=22.8°, E=1574.7095)
  進捗: 4300 / 40401  (ω1=7.1°, ω2=27.8°, E=1484.2651)
  進捗: 4350 / 40401  (ω1=7.1°, ω2=32.8°, E=1712.1879)
  進捗: 4400 / 40401  (ω1=7.1°, ω2=37.8°, E=2050.9219)
  進捗: 4450 / 40401  (ω1=7.2°, ω2=22.7°, E=1577.5763)
  進捗: 4500 / 40401  (ω1=7.2°, ω2=27.7°, E=1481.1225)
  進捗: 4550 / 40401  (ω1=7.2°, ω2=32.7°, E=1697.3942)
  進捗: 4600 / 40401  (ω1=7.2°, ω2=37.7°, E=2040.8467)
  進捗: 4650 / 40401  (ω1=7.3°, ω2=22.6°, E=1580.7059)
  進捗: 4700 / 40401  (ω1=7.3°, ω2=27.6°, E=1478.4670)
  進捗: 4750 / 40401  (ω1=7.3°, ω2=32.6°, E=1682.3578)
  進捗: 4800 / 40401  (ω1=7.3°, ω2=37.6°, E=2031.6291)
  進捗: 4850 / 40401  (ω1=7.4°, ω2=22.5°, E=1582.9240)
  進捗: 4900 / 40401  (ω1=7.4°, ω2=27.5°, E=1475.2739)
  進捗: 4950 / 40401  (ω1=7.4°, ω2=32.5°, E=1667.4831)
  進捗: 5000 / 40401  (ω1=7.4°, ω2=37.5°, E=2023.3357)
  進捗: 5050 / 40401  (ω1=7.5°, ω2=22.4°, E=1584.5665)
  進捗: 5100 / 40401  (ω1=7.5°, ω2=27.4°, E=1472.2403)
  進捗: 5150 / 40401  (ω1=7.5°, ω2=32.4°, E=1653.1434)
  進捗: 5200 / 40401  (ω1=7.5°, ω2=37.4°, E=2016.0008)
  進捗: 5250 / 40401  (ω1=7.6°, ω2=22.3°, E=1586.9847)
