画像読み込み成功: images/base/base3.jpg
  サイズ: 6080 × 3040
  チャンネル数: 3
画像読み込み成功: images/reference/ref_base3_w1_15_w2_30.jpg
  サイズ: 6080 × 3040
  チャンネル数: 3
画像サイズ: 6080 x 3040
比較領域: u=[1520,4560]  v=[760,2280]
真値: (ω1, ω2, ω3) = (15.0, 30.0, 0.0) [deg]
ω₁ スキャン範囲: 5.0°〜25.0°  (201点)
ω₂ スキャン範囲: 20.0°〜40.0°  (201点)
合計 40401 点を計算します

  進捗: 3550 / 40401  (ω1=6.7°, ω2=33.2°, E=1331.2046)
  進捗: 3600 / 40401  (ω1=6.7°, ω2=38.2°, E=1426.8306)
  進捗: 3650 / 40401  (ω1=6.8°, ω2=23.1°, E=1354.6010)
  進捗: 3700 / 40401  (ω1=6.8°, ω2=28.1°, E=1230.5874)
  進捗: 3750 / 40401  (ω1=6.8°, ω2=33.1°, E=1322.0169)
  進捗: 3800 / 40401  (ω1=6.8°, ω2=38.1°, E=1416.7016)
  進捗: 3850 / 40401  (ω1=6.9°, ω2=23.0°, E=1351.3081)
  進捗: 3900 / 40401  (ω1=6.9°, ω2=28.0°, E=1223.3325)
  進捗: 3950 / 40401  (ω1=6.9°, ω2=33.0°, E=1312.4318)
  進捗: 4000 / 40401  (ω1=6.9°, ω2=38.0°, E=1407.4080)
  進捗: 4050 / 40401  (ω1=7.0°, ω2=22.9°, E=1348.7768)
  進捗: 4100 / 40401  (ω1=7.0°, ω2=27.9°, E=1216.2421)
  進捗: 4150 / 40401  (ω1=7.0°, ω2=32.9°, E=1301.8415)
  進捗: 4200 / 40401  (ω1=7.0°, ω2=37.9°, E=1398.1669)
  進捗: 4250 / 40401  (ω1=7.1°, ω2=22.8°, E=1345.8589)
  進捗: 4300 / 40401  (ω1=7.1°, ω2=27.8°, E=1209.3238)
  進捗: 4350 / 40401  (ω1=7.1°, ω2=32.8°, E=1291.1354)
  進捗: 4400 / 40401  (ω1=7.1°, ω2=37.8°, E=1389.0708)
  進捗: 4450 / 40401  (ω1=7.2°, ω2=22.7°, E=1341.7574)
  進捗: 4500 / 40401  (ω1=7.2°, ω2=27.7°, E=1203.6277)
  進捗: 4550 / 40401  (ω1=7.2°, ω2=32.7°, E=1281.4831)
  進捗: 4600 / 40401  (ω1=7.2°, ω2=37.7°, E=1380.3491)
  進捗: 4650 / 40401  (ω1=7.3°, ω2=22.6°, E=1337.8300)
  進捗: 4700 / 40401  (ω1=7.3°, ω2=27.6°, E=1198.3295)
  進捗: 4750 / 40401  (ω1=7.3°, ω2=32.6°, E=1272.9274)
  進捗: 4800 / 40401  (ω1=7.3°, ω2=37.6°, E=1371.2991)
  進捗: 4850 / 40401  (ω1=7.4°, ω2=22.5°, E=1334.7058)
  進捗: 4900 / 40401  (ω1=7.4°, ω2=27.5°, E=1192.7764)
  進捗: 4950 / 40401  (ω1=7.4°, ω2=32.5°, E=1264.5349)
  進捗: 5000 / 40401  (ω1=7.4°, ω2=37.5°, E=1361.8731)
  進捗: 5050 / 40401  (ω1=7.5°, ω2=22.4°, E=1331.7249)
  進捗: 5100 / 40401  (ω1=7.5°, ω2=27.4°, E=1187.7608)
  進捗: 5150 / 40401  (ω1=7.5°, ω2=32.4°, E=1255.8795)
  進捗: 5200 / 40401  (ω1=7.5°, ω2=37.4°, E=1353.0081)
  進捗: 5250 / 40401  (ω1=7.6°, ω2=22.3°, E=1328.9341)
  進捗: 5300 / 40401  (ω1=7.6°, ω2=27.3°, E=1182.8765)
  進捗: 5350 / 40401  (ω1=7.6°, ω2=32.3°, E=1247.9871)
  進捗: 5400 / 40401  (ω1=7.6°, ω2=37.3°, E=1344.6998)
  進捗: 5450 / 40401  (ω1=7.7°, ω2=22.2°, E=1326.4696)
  進捗: 5500 / 40401  (ω1=7.7°, ω2=27.2°, E=1178.1805)
  進捗: 5550 / 40401  (ω1=7.7°, ω2=32.2°, E=1239.9416)
  進捗: 5600 / 40401  (ω1=7.7°, ω2=37.2°, E=1335.8566)
  進捗: 5650 / 40401  (ω1=7.8°, ω2=22.1°, E=1323.5769)
  進捗: 5700 / 40401  (ω1=7.8°, ω2=27.1°, E=1173.4265)
  進捗: 5750 / 40401  (ω1=7.8°, ω2=32.1°, E=1230.1471)
  進捗: 5800 / 40401  (ω1=7.8°, ω2=37.1°, E=1327.1593)
