omega1_deg,E,dE_dw1,dE_dw2,grad_norm
5.0,1624.6482479153,-3597.205459,1241.535956,3805.430152
5.1,1618.8345040235,-3525.019622,1137.357042,3703.963333
5.2,1612.5903990837,-3172.987307,1256.952936,3412.884284
5.3,1606.4403005597,-3698.398469,1295.437230,3918.712653
5.4,1600.5861215894,-3456.674884,1245.844005,3674.333754
5.5,1594.7829478078,-2819.551648,1141.472397,3041.846598
5.6,1589.4892742199,-3123.063667,939.961092,3261.449604
5.7,1584.7030853220,-2763.011196,684.299279,2846.488428
5.8,1580.1429122308,-2168.359349,616.161656,2254.204395
5.9,1575.9323405860,-2517.528623,557.856897,2578.595487
6.0,1571.8630416874,-2621.171642,546.160608,2677.467495
6.1,1567.4592204175,-2192.958267,446.895758,2238.030782
6.2,1562.7826644611,-2938.939082,585.616033,2996.716380
6.3,1557.9666539955,-3080.269425,823.023090,3188.326636
6.4,1552.6953908711,-2673.415033,941.985005,2834.516482
6.5,1547.3752412388,-3214.957743,1197.220920,3430.640060
6.6,1542.1856729608,-3147.335959,1468.718857,3473.162640
6.7,1536.8084165369,-2826.920120,1589.501397,3243.145396
6.8,1531.0483450106,-3550.354790,1752.308095,3959.242705
6.9,1524.8162640521,-3957.446324,1863.453715,4374.224635
7.0,1518.0523590503,-3584.645372,1922.929945,4067.842428
7.1,1511.2269620908,-3972.159088,1832.971263,4374.680728
7.2,1504.6022268571,-3931.436107,1742.878612,4300.443666
7.3,1498.1958591636,-3246.070290,1675.639304,3653.045223
7.4,1492.1700476124,-3464.178753,1607.139269,3818.825875
7.5,1486.4016967206,-3585.277613,1629.034514,3938.015873
7.6,1480.3170513797,-3247.383153,1621.038115,3629.498852
7.7,1474.0277666854,-3630.250343,1832.067422,4066.348312
7.8,1467.7777557144,-4001.581186,2160.760953,4547.696107
7.9,1461.1968915044,-3537.716544,2560.644874,4367.189087
8.0,1454.2484078954,-4068.836955,2836.168788,4959.766886
8.1,1447.1073931489,-4538.714926,2923.991454,5399.042434
8.2,1439.6404989422,-3966.471628,2931.059854,4931.937656
8.3,1432.0234202689,-4460.936038,2885.171824,5312.642167
8.4,1424.4343511484,-4762.108008,2724.189947,5486.244941
8.5,1416.4812476530,-4175.801203,2647.456419,4944.324137
8.6,1408.5179116992,-4562.331375,2772.753655,5338.822942
8.7,1400.7253325141,-4862.761754,2955.431628,5690.433023
8.8,1392.5479193586,-4397.948240,3059.069177,5357.224370
8.9,1384.0468130424,-4960.843524,3116.729842,5858.666518
9.0,1375.5740919057,-5132.357497,2915.928566,5902.858027
9.1,1367.2730647803,-4268.833684,2780.599823,5094.573231
9.2,1359.3493322342,-4546.631929,2679.470617,5277.444901
9.3,1351.7218314397,-4653.492972,2552.706028,5307.664732
9.4,1343.8077973575,-4297.545308,2566.996300,5005.833165
9.5,1335.5729577829,-4798.656694,2596.891204,5456.276202
9.6,1327.3533293169,-5005.811188,2656.629580,5667.082704
9.7,1319.0555862789,-4456.968763,2716.244355,5219.440003
9.8,1310.6645211663,-4871.182573,2735.989235,5586.954157
9.9,1302.0833889674,-5352.719802,2791.133410,6036.723862
10.0,1292.9456267300,-5045.686111,2847.818175,5793.877517
10.1,1283.4187061106,-5506.225444,2783.061720,6169.598947
10.2,1273.8751323951,-5850.596847,2629.044097,6414.152815
10.3,1264.0757191719,-5383.072674,2554.818498,5958.571051
10.4,1253.9597511706,-5876.919260,2619.309476,6434.202523
10.5,1243.9115990399,-5974.088699,2669.411420,6543.354882
10.6,1233.8621604503,-5470.120591,2785.465805,6138.488334
10.7,1223.6929519400,-5869.994278,2975.850751,6581.224849
10.8,1213.3226387121,-6343.030219,3001.938148,7017.525562
10.9,1202.4368079242,-6128.552561,2902.409684,6781.086821
11.0,1191.2663155656,-6313.966251,2680.968106,6859.574317
11.1,1180.2694407062,-6540.219189,2422.645558,6974.502029
11.2,1169.3716212838,-5990.022948,2366.348095,6440.495185
11.3,1158.4160328021,-6220.146383,2478.583380,6695.789468
11.4,1147.5159893852,-6631.756176,2577.841598,7115.156870
11.5,1136.0685735992,-6540.727424,2699.308554,7075.830828
11.6,1123.9760264325,-6965.705815,2730.786391,7481.861521
11.7,1111.6917370967,-7372.949293,2716.498899,7857.464448
11.8,1098.9289807443,-7349.859746,2784.879201,7859.770382
11.9,1085.1703178065,-8123.621660,3047.966977,8676.596774
12.0,1070.3477850354,-9144.270556,3319.496114,9728.141572
