omega1_deg,E,dE_dw1,dE_dw2,grad_norm
12.1,1054.4153201043,-9140.636068,3624.437071,9832.994041
12.2,1037.7072832211,-9646.693067,3892.873160,10402.554906
12.3,1020.6027880506,-10197.240889,4118.086937,10997.379769
12.4,1002.9893972943,-10077.369303,4369.021048,10983.702335
12.5,984.9190974208,-10310.089123,4769.453755,11359.825124
12.6,966.7918209823,-10719.531550,5132.626100,11884.957186
12.7,948.0657518342,-10875.374040,5472.386271,12174.595353
12.8,927.9356394357,-11829.089772,5752.486206,13153.648254
12.9,906.7115725185,-12685.707632,6026.397876,14044.381420
13.0,884.6499322080,-12662.894813,6414.713610,14194.979948
13.1,861.8616667210,-13154.364129,6829.357516,14821.518806
13.2,838.3901711827,-13966.118022,7228.450936,15725.868992
13.3,813.6169964618,-14625.582262,7530.310716,16450.326318
13.4,786.9643555251,-15626.045146,7906.845113,17512.609359
13.5,758.7520594199,-16780.487068,8299.438752,18720.721937
13.6,729.3348855424,-17019.231407,8734.499641,19129.707831
13.7,699.0632550810,-17380.675746,9220.687639,19675.085004
13.8,667.9679464439,-18513.793288,9812.353068,20953.348530
13.9,635.1724927469,-19264.706523,10461.753892,21922.071342
14.0,600.3616529795,-20233.044855,11090.444572,23073.232649
14.1,564.2286642780,-21350.795880,11701.502584,24347.107579
14.2,526.3550651899,-22326.119254,12379.221881,25528.429942
14.3,485.2670123800,-24640.756663,13286.227364,27994.476714
14.4,439.2399639838,-28524.534707,14313.357000,31914.280015
14.5,385.6537214955,-33289.431356,15272.839253,36625.754038
14.6,321.7596558856,-39926.055036,16067.163149,43037.699780
14.7,244.1354250279,-49648.867484,16295.931845,52254.831711
14.8,149.7048112389,-57819.753710,14641.855972,59644.847769
14.9,51.5250451713,-48960.889490,9163.809084,49811.084074
15.0,3.2453463108,41.603906,9.139408,42.595936
15.1,51.6850355355,49042.834691,-9073.799544,49875.178924
15.2,149.8179700659,58158.857709,-14435.640894,59923.621870
15.3,244.4264993426,49199.642288,-16031.169214,51745.562009
15.4,322.1312534746,40125.356901,-15756.524078,43108.146764
15.5,385.7974150835,33455.978007,-14808.430115,36586.774480
15.6,439.3596940613,28108.894877,-13782.888775,31306.197377
15.7,485.3231254847,24630.831179,-12693.609393,27709.304647
15.8,525.9897448435,22407.857026,-11756.022660,25304.468485
15.9,563.6182749879,20845.228336,-11004.186911,23571.501309
16.0,599.5280834707,20088.535633,-10254.730788,22554.573093
16.1,633.7309405092,19268.007754,-9514.692270,21489.194768
16.2,666.0943799823,17818.176746,-8737.101418,19845.008535
16.3,696.7228797406,17181.354475,-8051.737659,18974.441254
16.4,726.2454967075,16874.467339,-7554.767380,18488.433090
16.5,755.0566554821,16067.417660,-7168.871096,17594.164460
16.6,782.7040690250,15367.080747,-6761.029972,16788.647860
16.7,808.5199654861,14447.602682,-6359.007250,15785.125798
16.8,832.6443450242,13261.885364,-5939.297397,14531.099648
16.9,855.4143742659,12681.264288,-5464.802793,13808.639813
17.0,877.2143833148,12451.293069,-5003.888506,13419.150467
17.1,898.3424253055,11770.642042,-4558.946200,12622.678184
17.2,918.5638361866,11183.953128,-4243.104338,11961.803459
17.3,937.3915034889,10558.627199,-3857.106950,11241.080123
17.4,954.9856563423,9718.414781,-3433.797234,10307.208608
17.5,972.0374136487,9586.428192,-2971.474362,10036.397031
17.6,988.7400620188,9714.378420,-2592.950084,10054.478516
17.7,1005.1169930501,9106.364314,-2349.383600,9404.545407
17.8,1021.0104531667,8865.195855,-2122.882814,9115.828486
17.9,1036.3599996883,8901.763177,-1927.931040,9108.145023
18.0,1051.2370879242,8136.473123,-1805.774262,8334.447526
18.1,1065.1907503172,7547.341729,-1678.625967,7731.762561
18.2,1077.8839344664,7249.686054,-1603.294535,7424.856985
18.3,1089.9346088141,6696.260046,-1593.391266,6883.225576
18.4,1101.7474909820,6589.566169,-1659.500777,6795.316411
18.5,1113.2674065188,6702.620349,-1795.211989,6938.869189
18.6,1124.3704654843,6123.480813,-1874.745317,6404.036795
18.7,1135.1128860379,5977.320377,-1825.186714,6249.773230
18.8,1145.6549645713,6265.322302,-1726.511909,6498.854277
18.9,1156.2539403456,6035.825714,-1761.243143,6287.540812
19.0,1166.9505903470,5970.807514,-1948.297981,6280.637499
19.1,1177.4543626871,6150.825576,-2118.990153,6505.595633
19.2,1187.6806302756,5711.094617,-2236.242545,6133.301105
19.3,1197.6074719431,5385.477969,-2121.430334,5788.250134
19.4,1207.2277278303,5730.855127,-1977.721740,6062.514641
19.5,1216.8153821620,5469.119897,-1946.562705,5805.202737
19.6,1226.5480528103,5433.249709,-2025.608893,5798.559630
19.7,1236.1545528274,5680.058895,-2098.342195,6055.254661
19.8,1245.5497303977,5279.934937,-2185.681911,5714.448211
19.9,1254.8016266983,5010.983326,-2311.995507,5518.630004
20.0,1263.7599885847,5295.542029,-2433.430647,5827.894139
20.1,1272.4343107596,4797.230168,-2393.545718,5361.201208
20.2,1280.6666198121,4368.486594,-2282.655673,4928.913881
20.3,1288.3832173091,4580.820660,-2232.755982,5095.990306
20.4,1295.9400727235,4262.021413,-2101.306308,4751.874865
20.5,1303.5634395406,4131.595856,-1997.201041,4588.997310
20.6,1310.8859053626,4366.489359,-1839.616085,4738.187065
20.7,1317.8992424740,3862.786872,-1754.160502,4242.428725
20.8,1324.7698683969,3779.990870,-1671.770446,4133.176430
20.9,1331.6738944352,4256.043039,-1691.784063,4579.960225
21.0,1338.8820567005,4152.662505,-1942.185593,4584.396444
21.1,1346.3811356407,4148.458141,-2112.565572,4655.388087
21.2,1353.7464770823,4367.462566,-2098.124841,4845.292263
21.3,1360.8781011451,3988.698452,-1930.384035,4431.263687
21.4,1367.8920161885,3795.999827,-1706.919457,4162.113492
21.5,1374.6574463797,4020.960214,-1537.034470,4304.717878
21.6,1381.2182948660,3636.625653,-1462.068170,3919.526690
21.7,1387.5078487127,3341.399452,-1412.632043,3627.737530
21.8,1393.4754063006,3562.985899,-1393.217562,3825.692577
21.9,1399.2445547361,3251.460969,-1377.342738,3531.157240
22.0,1404.9789582916,3093.734889,-1393.393446,3393.043009
22.1,1410.5836984279,3390.206618,-1214.627580,3601.224940
22.2,1416.1291753198,3177.350960,-987.741794,3327.340225
22.3,1421.7297080428,2997.063361,-620.956819,3060.714975
22.4,1427.0816115540,3131.294900,-379.102339,3154.160163
22.5,1432.0402482484,2787.408949,-243.920637,2798.061101
22.6,1436.8466168109,2540.985599,-189.928067,2548.073877
22.7,1441.5799731549,2956.306239,-116.656677,2958.606996
22.8,1446.5089608686,2900.876348,-149.754253,2904.739217
22.9,1451.7059414111,2818.730416,-278.346441,2832.440273
23.0,1456.9888434354,3263.677670,-435.291624,3292.578128
23.1,1462.3318359830,3054.561812,-542.017018,3102.278246
23.2,1467.6103801658,2702.241710,-546.187293,2756.887886
23.3,1472.4826818430,2848.790830,-470.423426,2887.370324
23.4,1477.0300757690,2620.745185,-280.779794,2635.743276
23.5,1481.6704162499,2473.115287,-151.806520,2477.770054
23.6,1486.3489421882,2857.154344,-30.545585,2857.317619
23.7,1490.9197836642,2603.957444,46.615965,2604.374669
23.8,1495.3992726245,2294.644152,29.570072,2294.834672
23.9,1499.5070723996,2478.765021,-82.977517,2480.153482
24.0,1503.3698988071,2207.675982,-133.720917,2211.722072
24.1,1507.3278775811,2082.425878,-232.040655,2095.313915
24.2,1511.2903745898,2481.259264,-377.814765,2509.858867
24.3,1515.1972669921,2246.384837,-566.514860,2316.718352
24.4,1519.2664631061,2213.361522,-690.328104,2318.517224
24.5,1523.6460350596,2832.607009,-841.826303,2955.052282
24.6,1528.5446881222,2988.022752,-955.183946,3136.982043
24.7,1534.0341507377,3052.074754,-1005.090326,3213.310888
24.8,1539.6117536841,3342.219918,-998.764722,3488.261021
24.9,1545.0191487678,3021.389333,-958.303289,3169.722179
25.0,1550.2595772707,2763.270838,-916.745447,2911.372174
